first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
jimmy,butler,37,35,1282,8.6,17.5,0.49,7.7,14.9,0.515,0.9,2.7,0.345,8.6,11.0,0.7829999999999979,10.3,3.9,2.4,0.6,2.5,2.2,26.7,126.8,102.5
justin,harper,37,37,1178,13.2,24.7,0.534,9.0,15.4,0.585,4.1,9.2,0.447999999999998,5.1,6.3,0.797,13.8,2.3,1.2,2.5,3.0,4.4,35.5,123.6,94.9
kyle,singler,37,37,1286,9.7,22.6,0.43,7.0,14.0,0.49700000000000005,2.7,8.6,0.321,5.5,6.9,0.8059999999999979,11.2,2.7,1.5,0.5,3.1,4.3,27.7,114.8,95.1
shelvin,mack,38,37,1219,10.2,25.1,0.408,5.8,12.6,0.462,4.4,12.5,0.354,6.1,7.9,0.769,8.6,6.7,1.5,0.2,4.7,3.4,31.0,109.9,100.9
tyler,honeycutt,33,33,1154,7.5,18.4,0.406,4.6,10.5,0.437999999999998,2.9,7.9,0.36200000000000004,4.1,5.5,0.736,12.4,4.8,1.5,3.5,5.2,2.7,21.9,99.7,96.3
jordan,williams,33,33,1073,11.1,20.6,0.537999999999998,11.1,20.6,0.537999999999998,0.0,0.0,,6.8,11.8,0.575,20.1,1.1,1.2,2.3,2.8,4.2,28.9,115.1,89.9
trey,thompkins,30,29,937,12.8,26.6,0.48100000000000004,11.3,21.8,0.52,1.5,4.9,0.311,5.4,7.9,0.6890000000000001,15.1,2.8,2.2,3.3,5.0,4.4,32.6,104.3,93.0
chandler,parsons,36,35,1229,7.9,16.5,0.48,5.7,10.5,0.544,2.2,6.0,0.368,2.8,4.9,0.557,14.2,6.9,1.7,0.8,4.1,3.4,20.7,112.4,96.0
jon,leuer,34,34,1139,13.9,29.6,0.47,10.6,20.7,0.513,3.3,8.9,0.37,6.9,8.2,0.843,15.1,3.4,1.0,1.8,3.3,4.6,38.1,118.3,99.7
darius,morris,35,34,1219,10.6,21.7,0.489,9.8,18.3,0.532999999999998,0.8,3.4,0.25,5.7,8.0,0.715,7.3,12.4,1.9,0.1,5.4,3.9,27.8,111.4,102.1
malcolm,lee,33,33,1093,7.7,17.7,0.43700000000000006,5.6,10.5,0.534,2.1,7.2,0.295,6.1,7.9,0.778,5.5,3.7,1.2,0.4,3.1,4.4,23.8,113.2,104.2
charles,jenkins,33,33,1232,12.5,24.1,0.517,9.2,16.3,0.563,3.3,7.9,0.42,9.1,11.1,0.8240000000000001,5.6,7.9,2.9,1.1,3.7,3.3,37.4,128.0,107.8
josh,harrellson,38,38,1083,7.1,11.6,0.611,7.0,11.1,0.631,0.1,0.6,0.2,1.8,3.1,0.589,18.4,1.7,2.0,3.2,1.6,5.1,16.1,134.3,92.6
andrew,goudelock,37,37,1302,14.4,31.8,0.455,8.5,17.1,0.496,6.0,14.6,0.40700000000000003,5.0,6.1,0.821,6.5,7.1,1.5,0.3,5.4,3.0,39.8,115.1,105.7
travis,leslie,33,33,1062,10.3,21.0,0.49200000000000005,9.6,18.5,0.517,0.8,2.5,0.302,6.4,7.9,0.8009999999999979,13.8,5.7,2.3,1.2,4.1,3.7,27.8,116.9,98.1
keith,benson,35,35,1133,11.3,20.6,0.547,10.8,19.5,0.556,0.4,1.1,0.391,7.7,11.9,0.643,17.3,1.9,1.4,6.1,3.2,5.3,30.6,120.2,98.9
josh,selby,26,11,530,7.8,20.9,0.373,4.1,10.7,0.384,3.7,10.2,0.36200000000000004,3.0,4.0,0.757,6.3,6.1,2.3,0.1,5.7,4.8,22.3,95.5,96.5
lavoy,allen,33,33,1120,8.4,17.5,0.48,8.1,16.6,0.49,0.3,0.9,0.294,3.8,5.4,0.6970000000000001,15.4,4.1,1.3,3.3,2.9,4.1,20.8,110.0,93.1
jon,diebler,37,36,1320,6.9,13.5,0.507,1.5,2.8,0.525,5.4,10.7,0.502,3.0,3.7,0.81,4.6,4.2,1.7,0.2,1.7,1.7,22.1,144.7,98.4
vernon,macklin,37,35,905,13.2,22.3,0.593,13.2,22.3,0.593,0.0,0.0,,3.2,7.1,0.451,13.8,2.1,0.9,1.8,4.4,6.3,29.6,110.0,98.5
deandre,liggins,38,28,1201,5.6,13.3,0.424,3.8,8.7,0.442,1.8,4.6,0.391,3.4,5.3,0.648,7.7,4.8,2.3,1.4,2.8,4.7,16.5,109.1,97.0
etwaun,moore,34,33,1152,11.6,26.0,0.447,7.9,16.8,0.473,3.7,9.2,0.4,5.3,7.4,0.7090000000000001,9.2,5.7,2.2,0.9,3.2,3.7,32.2,114.4,94.9
isaiah,thomas,35,35,1115,9.4,21.0,0.445,6.4,12.5,0.512,3.0,8.6,0.349,7.5,10.5,0.7190000000000001,6.1,10.6,2.3,0.1,5.2,3.7,29.2,117.4,100.8
