first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
alex,oriakhi,34,34,878,9.2,14.4,0.639,9.2,14.4,0.639,0.0,0.0,,7.1,9.5,0.746,19.1,0.8,1.3,3.6,3.1,5.3,25.5,131.6,94.1
deshaun,thomas,37,37,1309,12.3,27.7,0.444,8.9,17.8,0.5,3.4,9.9,0.344,6.7,8.0,0.8340000000000001,10.5,2.3,0.9,0.5,2.5,2.6,34.8,116.7,97.6
anthony,davis,40,40,1281,9.9,15.9,0.623,9.7,14.9,0.653,0.1,0.9,0.15,6.8,9.6,0.7090000000000001,19.5,2.4,2.5,8.8,1.9,3.7,26.7,139.0,80.7
michael,kidd-gilchrist,40,39,1245,7.7,15.8,0.491,7.1,13.3,0.535,0.6,2.5,0.255,6.9,9.3,0.745,14.4,3.6,1.9,1.8,4.2,4.7,23.1,115.5,92.3
bradley,beal,37,37,1267,8.5,19.1,0.445,5.4,10.0,0.541,3.1,9.0,0.33899999999999797,6.4,8.4,0.769,12.1,4.0,2.5,1.5,3.8,3.7,26.5,115.4,96.9
dion,waiters,37,0,891,11.7,24.6,0.47600000000000003,8.9,16.8,0.529,2.8,7.8,0.363,5.9,8.1,0.7290000000000001,5.9,6.3,4.6,0.8,3.3,4.8,32.2,118.6,93.9
thomas,robinson,39,39,1242,12.5,24.7,0.505,12.1,24.1,0.505,0.3,0.7,0.5,7.8,11.4,0.682,22.1,3.4,2.0,1.6,5.0,5.1,33.1,109.8,84.6
damian,lillard,32,32,1105,12.4,26.6,0.467,7.4,14.3,0.517,5.1,12.4,0.409,12.3,13.8,0.887,8.7,6.9,2.5,0.4,4.0,3.3,42.2,128.4,101.6
harrison,barnes,38,37,1111,11.3,25.8,0.44,8.9,19.0,0.469,2.4,6.8,0.358,7.0,9.7,0.723,9.8,2.1,2.0,0.6,3.7,3.4,32.1,111.1,96.1
terrence,ross,35,35,1088,11.2,24.4,0.457,7.4,14.4,0.518,3.7,10.1,0.371,3.7,4.9,0.7659999999999979,11.7,2.5,2.3,1.7,3.6,5.1,29.9,113.6,96.8
andre,drummond,34,30,967,10.1,18.8,0.537999999999998,10.1,18.7,0.541,0.0,0.1,0.0,1.7,5.7,0.295,16.6,1.0,1.8,5.9,3.4,4.8,21.9,103.1,97.3
austin,rivers,34,33,1129,9.0,20.8,0.433,6.0,12.6,0.47700000000000004,3.0,8.2,0.365,6.3,9.5,0.657999999999999,6.0,3.7,1.7,0.1,4.1,3.9,27.3,107.8,104.7
meyers,leonard,32,29,1018,10.4,17.7,0.584,10.3,17.1,0.604,0.1,0.7,0.091,5.7,7.7,0.732,16.0,2.6,0.9,3.7,4.1,5.7,26.5,115.5,95.9
jeremy,lamb,34,34,1266,10.7,22.4,0.478,7.2,12.0,0.601,3.5,10.4,0.336,4.8,6.0,0.81,8.2,2.9,2.1,1.0,3.4,2.8,29.7,117.6,103.3
kendall,marshall,36,35,1189,4.9,10.4,0.467,3.6,6.8,0.527,1.3,3.7,0.354,2.5,3.7,0.696,4.4,16.3,2.0,0.3,4.7,2.6,13.6,114.9,98.4
john,henson,35,34,1019,11.1,22.2,0.5,11.1,22.2,0.5,0.0,0.0,,3.7,7.3,0.511,18.8,2.4,1.1,5.5,2.4,3.0,25.9,110.2,86.6
maurice,harkless,32,32,1155,9.9,22.0,0.452,9.1,17.9,0.506,0.9,4.1,0.215,4.8,7.2,0.6759999999999979,14.2,2.4,2.6,2.3,4.1,3.8,25.6,102.3,102.0
royce,white,34,33,1072,9.7,18.1,0.534,9.5,17.5,0.541,0.2,0.7,0.33299999999999796,5.6,11.3,0.498,17.5,9.4,2.2,1.8,7.2,4.9,25.2,103.3,95.4
tyler,zeller,38,38,1070,11.3,20.5,0.552999999999999,11.3,20.5,0.552999999999999,0.0,0.0,,9.3,11.5,0.8079999999999979,18.8,1.9,1.7,3.0,3.8,5.2,32.0,125.6,89.7
