first_name,last_name,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM
delon,wright,29.2,0.619,0.5489999999999989,0.225,0.565,558,4.0,13.7,9.3,33.0,4.0,3.2,14.2,22.8,5.3,3.1,8.4,0.289,8.8,7.4,16.2
justin,anderson,23.8,0.61,0.5720000000000001,0.47100000000000003,0.371,283,3.1,14.4,9.0,14.0,1.6,2.5,10.7,23.3,2.5,1.8,4.4,0.24100000000000002,7.6,4.6,12.2
bobby,portis,29.5,0.5820000000000001,0.552,0.064,0.335,578,13.6,20.2,16.8,8.8,2.1,4.8,9.4,26.7,4.2,1.9,6.1,0.22699999999999898,5.8,3.1,9.0
rondae,hollis-jefferson,21.8,0.573,0.513,0.105,0.745,435,9.0,20.1,14.8,10.1,2.4,3.4,13.7,20.5,3.1,2.9,5.9,0.218,4.4,6.8,11.2
tyus,jones,20.4,0.575,0.489,0.38299999999999895,0.5,532,1.8,9.9,6.1,27.5,2.7,0.2,15.9,18.7,4.4,2.1,6.5,0.196,6.6,2.8,9.4
jarell,martin,21.6,0.565,0.526,0.131,0.511,531,9.7,18.1,14.1,10.5,1.9,1.8,15.7,24.8,2.7,2.4,5.1,0.174,3.1,2.2,5.3
larry,nance,25.3,0.581,0.5329999999999989,0.11699999999999901,0.40299999999999897,472,6.0,21.1,14.1,20.0,2.3,4.3,14.0,28.5,2.8,2.6,5.4,0.19899999999999898,2.4,4.3,6.7
rj,hunter,25.8,0.552,0.473,0.51,0.447,667,2.8,12.5,7.9,20.3,3.6,3.6,11.0,29.6,4.4,2.5,6.9,0.215,5.4,1.3,6.7
chris,mccullough,18.9,0.508,0.48200000000000004,0.009000000000000001,0.628,146,9.0,18.5,13.8,8.2,3.6,8.5,19.3,20.7,0.3,1.2,1.4,0.126,-1.4,8.2,6.8
kevon,looney,21.9,0.532,0.505,0.165,0.45799999999999896,428,12.2,21.0,16.6,9.1,2.5,3.3,10.3,19.7,2.8,2.0,4.8,0.172,4.2,4.0,8.2
montrezl,harrell,24.8,0.588,0.578,0.098,0.508,521,10.0,19.1,14.5,9.2,1.6,3.7,12.9,22.3,3.6,3.0,6.6,0.214,4.6,4.7,9.2
jordan,mickey,21.7,0.5329999999999989,0.505,0.024,0.38799999999999896,454,10.5,19.6,15.3,7.6,1.5,9.6,18.4,25.0,1.2,2.6,3.9,0.14300000000000002,-0.8,6.3,5.5
anthony,brown,19.5,0.573,0.528,0.439,0.358,523,3.8,18.8,11.4,15.2,1.3,0.6,13.1,21.7,3.6,1.7,5.2,0.159,5.1,1.9,7.0
rakeem,christmas,26.5,0.591,0.552,0.003,0.519,498,10.2,19.6,14.9,10.5,1.7,8.5,14.5,25.8,3.0,2.3,5.4,0.203,3.4,6.2,9.6
richaun,holmes,30.4,0.625,0.594,0.147,0.522,421,11.6,20.9,16.3,7.2,1.5,11.2,14.1,25.6,3.2,2.0,5.1,0.23,3.6,5.7,9.3
darrun,hilliard,23.1,0.5760000000000001,0.5429999999999989,0.528,0.267,444,2.0,10.7,6.5,15.9,3.8,1.3,8.8,25.2,3.3,2.2,5.5,0.218,6.7,3.5,10.2
josh,richardson,22.9,0.56,0.519,0.321,0.311,499,2.9,13.2,7.8,24.4,3.8,2.0,15.7,25.5,3.2,1.4,4.6,0.159,5.8,2.0,7.8
pat,connaughton,19.4,0.615,0.597,0.618,0.18,436,4.2,20.4,13.0,7.6,1.3,2.7,10.2,17.7,3.5,1.9,5.4,0.16,6.1,2.1,8.2
olivier,hanlan,22.2,0.552999999999999,0.519,0.371,0.292,608,2.6,11.5,7.1,29.1,2.1,0.1,13.1,30.1,3.3,1.1,4.4,0.145,6.4,-0.3,6.0
joseph,young,23.2,0.568,0.524,0.431,0.226,701,1.7,11.6,6.9,21.3,1.8,0.1,11.7,28.7,4.4,1.2,5.6,0.17,6.7,-0.7,6.1
andrew,harrison,18.0,0.531,0.446,0.35200000000000004,0.596,388,1.7,8.1,5.1,26.0,2.5,0.9,15.7,21.4,2.6,2.5,5.1,0.205,4.9,4.1,9.0
marcus,thornton,21.8,0.605,0.564,0.5379999999999989,0.324,598,1.0,7.9,4.7,17.5,1.1,0.4,12.4,28.5,4.0,0.7,4.7,0.154,5.0,-5.1,-0.1
norman,powell,19.6,0.54,0.49700000000000005,0.255,0.36200000000000004,531,1.9,13.3,7.6,12.8,3.2,1.5,12.8,25.3,2.5,1.9,4.4,0.14,3.5,2.4,5.8
