first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
jamal,murray,2015-16,0.204,0.655,0.278,0.281,0.391,0.136,0.515,0.408,0.894,0.283,0.783
marquese,chriss,2015-16,0.432,0.685,0.53,0.391,0.439,0.569,0.178,0.35,0.952,0.382,0.682
jakob,poeltl,2015-16,0.85,0.693,0.567,0.15,0.377,0.45,0.0,---,---,0.674,0.689
domantas,sabonis,2015-16,0.573,0.719,0.509,0.391,0.477,0.479,0.036,0.357,1,0.499,0.769
taurean,prince,2015-16,0.262,0.645,0.577,0.405,0.365,0.403,0.333,0.343,0.812,0.338,0.775
denzel,valentine,2015-16,0.164,0.603,0.455,0.309,0.416,0.333,0.527,0.444,0.865,0.214,0.853
wade,baldwin,2015-16,0.385,0.504,0.167,0.298,0.359,0.03,0.317,0.408,0.725,0.608,0.793
henry,ellenson,2015-16,0.26,0.628,0.493,0.501,0.427,0.731,0.239,0.288,1,0.439,0.749
malik,beasley,2015-16,0.326,0.68,0.494,0.313,0.35,0.163,0.361,0.387,0.927,0.326,0.812
caris,levert,2015-16,0.327,0.774,0.293,0.272,0.273,0.0,0.401,0.446,0.655,0.42,0.794
deandre,bembry,2015-16,0.383,0.691,0.435,0.343,0.336,0.135,0.274,0.273,0.917,0.368,0.644
malachi,richardson,2015-16,0.209,0.581,0.28,0.248,0.225,0.217,0.544,0.353,0.722,0.381,0.72
brice,johnson,2015-16,0.368,0.875,0.679,0.632,0.462,0.638,0.0,---,---,0.423,0.783
pascal,siakam,2015-16,0.367,0.733,0.482,0.604,0.438,0.519,0.029,0.2,1,0.396,0.678
skal,labissiere,2015-16,0.289,0.673,0.595,0.7,0.459,0.754,0.011,0,---,0.326,0.661
dejounte,murray,2015-16,0.358,0.586,0.324,0.399,0.34,0.152,0.243,0.288,0.941,0.342,0.663
damian,jones,2015-16,0.526,0.75,0.634,0.465,0.421,0.41,0.01,0,---,0.538,0.536
deyonta,davis,2015-16,0.613,0.713,0.655,0.387,0.416,0.625,0.0,---,---,0.191,0.605
cheick,diallo,2015-16,0.397,0.739,0.765,0.603,0.457,0.562,0.0,---,---,0.466,0.556
tyler,ulis,2015-16,0.188,0.578,0.042,0.45,0.447,0.056,0.362,0.344,0.564,0.441,0.856
malcolm,brogdon,2015-16,0.292,0.605,0.393,0.326,0.402,0.364,0.382,0.391,0.8,0.31,0.897
chinanu,onuaku,2015-16,0.48,0.736,0.667,0.516,0.518,0.356,0.005,0,---,0.253,0.589
patrick,mccaw,2015-16,0.319,0.661,0.368,0.166,0.4,0.333,0.515,0.366,0.824,0.294,0.774
diamond,stone,2015-16,0.551,0.735,0.605,0.449,0.364,0.438,0.0,---,---,0.456,0.761
stephen,zimmermanjr,2015-16,0.491,0.59,0.661,0.43,0.38,0.743,0.079,0.294,1,0.472,0.624
isaiah,whitehead,2015-16,0.209,0.467,0.08,0.357,0.344,0.095,0.434,0.365,0.605,0.383,0.76
demetrius,jackson,2015-16,0.348,0.617,0.272,0.271,0.405,0.021,0.381,0.331,0.426,0.325,0.813
aj,hammons,2015-16,0.39,0.87,0.711,0.577,0.407,0.646,0.033,0.545,1,0.378,0.709
jake,layman,2015-16,0.264,0.797,0.441,0.221,0.387,0.25,0.514,0.396,0.965,0.339,0.832
michael,gbinije,2015-16,0.326,0.635,0.376,0.197,0.344,0.091,0.477,0.391,0.758,0.328,0.662
georges,niang,2015-16,0.317,0.768,0.421,0.407,0.479,0.257,0.276,0.392,0.893,0.23,0.807
ben,bentil,2015-16,0.379,0.629,0.63,0.325,0.387,0.672,0.296,0.329,0.885,0.465,0.782
joel,bolomboy,2015-16,0.496,0.749,0.48,0.341,0.417,0.438,0.163,0.364,0.95,0.677,0.697
kahlil,felder,2015-16,0.311,0.582,0.208,0.345,0.386,0.115,0.345,0.342,0.333,0.462,0.849
marcus,paige,2015-16,0.164,0.5,0.31,0.249,0.432,0.184,0.588,0.356,0.757,0.263,0.774
daniel,hamilton,2015-16,0.241,0.525,0.135,0.414,0.353,0.1,0.345,0.331,0.702,0.243,0.86
abdel,nader,2015-16,0.291,0.765,0.533,0.294,0.343,0.294,0.415,0.371,0.962,0.315,0.736
isaiah,cousins,2015-16,0.186,0.573,0.186,0.444,0.33,0.068,0.37,0.416,0.613,0.236,0.684
tyrone,wallace,2015-16,0.373,0.602,0.156,0.382,0.374,0.102,0.245,0.298,0.8,0.449,0.649
karl-anthony,towns,2014-15,0.434,0.757,0.464,0.535,0.431,0.373,0.031,0.25,0.5,0.523,0.813
dangelo,russell,2014-15,0.219,0.622,0.348,0.331,0.387,0.246,0.45,0.412,0.532,0.292,0.743
jahlil,okafor,2014-15,0.619,0.765,0.538,0.381,0.5,0.388,0.0,---,---,0.462,0.51
