first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
andre,drummond,2011-12,0.634,0.703,0.662,0.36,0.257,0.556,0.007,0,---,0.301,0.295
austin,rivers,2011-12,0.351,0.582,0.134,0.254,0.333,0.0,0.396,0.365,0.397,0.458,0.658
meyers,leonard,2011-12,0.495,0.757,0.798,0.467,0.441,0.5,0.038,0.091,1,0.436,0.732
jeremy,lamb,2011-12,0.187,0.788,0.657,0.348,0.5,0.354,0.465,0.336,0.831,0.267,0.81
kendall,marshall,2011-12,0.236,0.66,0.086,0.413,0.452,0.048,0.351,0.354,0.643,0.351,0.696
john,henson,2011-12,0.28,0.722,0.759,0.72,0.414,0.697,0.0,---,---,0.329,0.511
maurice,harkless,2011-12,0.459,0.648,0.457,0.356,0.322,0.306,0.185,0.215,0.824,0.326,0.676
royce,white,2011-12,0.537,0.733,0.295,0.427,0.3,0.238,0.037,0.333,1,0.625,0.498
tyler,zeller,2011-12,0.329,0.679,0.64,0.671,0.491,0.656,0.0,---,---,0.563,0.808
terrence,jones,2011-12,0.472,0.737,0.439,0.39,0.275,0.105,0.138,0.327,0.938,0.446,0.627
andrew,nicholson,2011-12,0.392,0.722,0.514,0.47,0.486,0.568,0.138,0.434,0.957,0.429,0.776
jared,sullinger,2011-12,0.394,0.682,0.576,0.515,0.416,0.34,0.091,0.4,0.875,0.519,0.768
fab,melo,2011-12,0.624,0.722,0.718,0.376,0.308,0.55,0.0,---,---,0.347,0.633
john,jenkins,2011-12,0.14,0.734,0.511,0.194,0.404,0.333,0.666,0.439,0.709,0.334,0.837
jared,cunningham,2011-12,0.439,0.637,0.553,0.225,0.253,0.24,0.336,0.338,0.8,0.614,0.737
tony,wroten,2011-12,0.519,0.578,0.306,0.356,0.346,0.127,0.125,0.161,0.222,0.591,0.583
miles,plumlee,2011-12,0.623,0.714,0.508,0.377,0.436,0.542,0.0,---,---,0.521,0.632
arnett,moultrie,2011-12,0.5,0.738,0.529,0.445,0.349,0.529,0.055,0.444,1,0.485,0.78
perry,jones,2011-12,0.371,0.704,0.621,0.538,0.393,0.545,0.091,0.303,0.9,0.28,0.696
marquis,teague,2011-12,0.44,0.555,0.128,0.332,0.282,0.091,0.227,0.325,0.885,0.338,0.714
festus,ezeli,2011-12,0.642,0.736,0.654,0.358,0.186,0.455,0.0,---,---,0.842,0.604
jeffery,taylor,2011-12,0.38,0.679,0.3,0.254,0.315,0.235,0.366,0.423,0.742,0.369,0.605
bernard,james-,2011-12,0.753,0.677,0.614,0.247,0.391,0.44,0.0,---,---,0.448,0.552
jae,crowder,2011-12,0.392,0.749,0.781,0.202,0.318,0.464,0.406,0.345,0.934,0.372,0.735
draymond,green,2011-12,0.35,0.612,0.495,0.367,0.341,0.458,0.284,0.388,0.942,0.367,0.723
orlando,johnson,2011-12,0.2,0.652,0.3,0.442,0.379,0.182,0.357,0.427,0.529,0.397,0.698
quincy,acy,2011-12,0.584,0.738,0.636,0.398,0.339,0.649,0.018,0.6,1,0.635,0.782
quincy,miller,2011-12,0.269,0.627,0.692,0.508,0.395,0.419,0.223,0.348,0.875,0.369,0.816
khris,middleton,2011-12,0.167,0.634,0.5,0.52,0.438,0.357,0.313,0.26,0.9,0.211,0.75
will,barton,2011-12,0.416,0.707,0.526,0.347,0.382,0.217,0.237,0.346,0.784,0.396,0.749
tyshawn,taylor,2011-12,0.314,0.606,0.326,0.365,0.455,0.067,0.321,0.393,0.667,0.414,0.706
doron,lamb,2011-12,0.214,0.658,0.404,0.344,0.37,0.277,0.442,0.466,0.974,0.404,0.826
mike,scott,2011-12,0.267,0.716,0.521,0.681,0.523,0.559,0.052,0.3,1,0.45,0.808
kim,english,2011-12,0.21,0.768,0.566,0.271,0.449,0.775,0.518,0.459,0.949,0.366,0.725
justin,hamilton,2011-12,0.388,0.621,0.584,0.575,0.424,0.628,0.038,0.25,1,0.428,0.781
darius,miller,2011-12,0.162,0.735,0.25,0.344,0.49,0.137,0.493,0.376,0.875,0.228,0.797
kevin,murphy,2011-12,0.19,0.637,0.6,0.457,0.386,0.211,0.353,0.416,0.646,0.32,0.721
kyle,oquinn,2011-12,0.573,0.737,0.503,0.338,0.397,0.396,0.089,0.188,0.5,0.626,0.696
kris,joseph,2011-12,0.288,0.706,0.416,0.333,0.262,0.152,0.378,0.35,0.94,0.405,0.745
darius,johnson-odom,2011-12,0.27,0.598,0.408,0.304,0.399,0.316,0.426,0.385,0.818,0.351,0.764
robbie,hummel,2011-12,0.058,0.63,0.529,0.538,0.42,0.438,0.404,0.383,0.944,0.295,0.825
marcus,denmon,2011-12,0.283,0.642,0.38,0.159,0.319,0.545,0.559,0.407,0.838,0.308,0.896
robert,sacre,2011-12,0.349,0.662,0.585,0.642,0.435,0.547,0.009,0,---,0.86,0.761
kyrie,irving,2010-11,,,,,,,,,,,
derrick,williams,2010-11,,,,,,,,,,,
tristan,thompson,2010-11,,,,,,,,,,,
brandon,knight,2010-11,,,,,,,,,,,
kemba,walker,2010-11,,,,,,,,,,,
jimmer,fredette,2010-11,,,,,,,,,,,
klay,thompson,2010-11,,,,,,,,,,,
alec,burks,2010-11,,,,,,,,,,,
markieff,morris,2010-11,,,,,,,,,,,
marcus,morris,2010-11,,,,,,,,,,,
kawhi,leonard,2010-11,,,,,,,,,,,
nikola,vucevic,2010-11,,,,,,,,,,,
iman,shumpert,2010-11,,,,,,,,,,,
chris,singleton,2010-11,,,,,,,,,,,
tobias,harris,2010-11,,,,,,,,,,,
nolan,smith,2010-11,,,,,,,,,,,
kenneth,faried,2010-11,,,,,,,,,,,
reggie,jackson,2010-11,,,,,,,,,,,
marshon,brooks,2010-11,,,,,,,,,,,
jordan,hamilton,2010-11,,,,,,,,,,,
jajuan,johnson,2010-11,,,,,,,,,,,
norris,cole,2010-11,,,,,,,,,,,
cory,joseph,2010-11,,,,,,,,,,,
jimmy,butler,2010-11,,,,,,,,,,,
justin,harper,2010-11,,,,,,,,,,,
kyle,singler,2010-11,,,,,,,,,,,
shelvin,mack,2010-11,,,,,,,,,,,
tyler,honeycutt,2010-11,,,,,,,,,,,
jordan,williams,2010-11,,,,,,,,,,,
trey,thompkins,2010-11,,,,,,,,,,,
chandler,parsons,2010-11,,,,,,,,,,,
jon,leuer,2010-11,,,,,,,,,,,
darius,morris,2010-11,,,,,,,,,,,
malcolm,lee,2010-11,,,,,,,,,,,
charles,jenkins,2010-11,,,,,,,,,,,
josh,harrellson,2010-11,,,,,,,,,,,
andrew,goudelock,2010-11,,,,,,,,,,,
travis,leslie,2010-11,,,,,,,,,,,
keith,benson,2010-11,,,,,,,,,,,
josh,selby,2010-11,,,,,,,,,,,
lavoy,allen,2010-11,,,,,,,,,,,
jon,diebler,2010-11,,,,,,,,,,,
vernon,macklin,2010-11,,,,,,,,,,,
deandre,liggins,2010-11,,,,,,,,,,,
etwaun,moore,2010-11,,,,,,,,,,,
isaiah,thomas,2010-11,,,,,,,,,,,
